assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
GeneDB	TriTrypDB:Tb927.1.3950	ALAT	PMID:19443056		GO:0006524	alanine catabolic process	IDA				20090630		NCBITaxon:185431
MTBBASE	UniProtKB:P9WQB1	ald	PMID:10527947		GO:0006524	alanine catabolic process	IDA			PANTHER:PTHR42795	20110326		NCBITaxon:83332
MTBBASE	UniProtKB:P9WQB1	ald	PMID:1587598		GO:0006524	alanine catabolic process	IDA			PANTHER:PTHR42795	20110326		NCBITaxon:83332
MTBBASE	UniProtKB:P9WQB1	ald	PMID:18304579		GO:0006524	alanine catabolic process	IDA			PANTHER:PTHR42795	20110326		NCBITaxon:83332
MTBBASE	UniProtKB:P9WQB1	ald	PMID:9661660		GO:0006524	alanine catabolic process	IDA			PANTHER:PTHR42795	20110326		NCBITaxon:83332
PseudoCAP	UniProtKB:Q9HTP6	lrp	PMID:19666712		GO:0006524	alanine catabolic process	IMP		UniProtKB:Q9HTP6	PANTHER:PTHR30154	20190311		NCBITaxon:208964
SGD	SGD:S000004079	ALT1	PMID:19396236		GO:0006524	alanine catabolic process	IMP		SGD:S000004079	PANTHER:PTHR11751	20130807		NCBITaxon:559292
BHF-UCL	UniProtKB:P00367	GLUD1	PMID:11032875		GO:0006537	glutamate biosynthetic process	IDA		UniProtKB:P00367	PANTHER:PTHR11606	20090616		NCBITaxon:9606
BHF-UCL	UniProtKB:P49448	GLUD2	PMID:11032875		GO:0006537	glutamate biosynthetic process	IDA		UniProtKB:P49448	PANTHER:PTHR11606	20090616		NCBITaxon:9606
BHF-UCL	UniProtKB:Q04609	FOLH1	PMID:17241121		GO:0006537	glutamate biosynthetic process	IDA		UniProtKB:Q04609	PANTHER:PTHR10404	20250416	GO:1900451	NCBITaxon:9606
BHF-UCL	UniProtKB:Q9HBA9	FOLH1B	PMID:17241121		GO:0006537	glutamate biosynthetic process	IDA		UniProtKB:Q9HBA9		20250416	GO:1900451	NCBITaxon:9606
BHF-UCL	UniProtKB:O94925	GLS	PMID:21757002		GO:0006537	glutamate biosynthetic process	TAS		UniProtKB:O94925	PANTHER:PTHR12544	20111201		NCBITaxon:9606
EcoCyc	EcoCyc:GDHA-MONOMER	GdhA	PMID:241744		GO:0006537	glutamate biosynthetic process	IDA		EcoCyc:GDHA-MONOMER		20070402		NCBITaxon:83333
EcoCyc	EcoCyc:GLUSYNLARGE-MONOMER	GltB	PMID:4565085		GO:0006537	glutamate biosynthetic process	IDA		EcoCyc:GLUSYNLARGE-MONOMER		20070326		NCBITaxon:83333
EcoCyc	EcoCyc:GLUSYNSMALL-MONOMER	GltD	PMID:4565085		GO:0006537	glutamate biosynthetic process	IDA		EcoCyc:GLUSYNSMALL-MONOMER		20070326		NCBITaxon:83333
FlyBase	FB:FBgn0001125	Got2	PMID:11753421		GO:0006537	glutamate biosynthetic process	IMP		FB:FBgn0001125	PANTHER:PTHR11879	20060803		NCBITaxon:7227
FlyBase	FB:FBgn0001125	Got2	PMID:3106567		GO:0006537	glutamate biosynthetic process	IDA		FB:FBgn0001125	PANTHER:PTHR11879	20080710		NCBITaxon:7227
FlyBase	FB:FBgn0001124	Got1	PMID:3106567		GO:0006537	glutamate biosynthetic process	IDA		FB:FBgn0001124	PANTHER:PTHR11879	20080710		NCBITaxon:7227
GeneDB	PlasmoDB:PF3D7_1430700	GDH2	PMID:22342964		GO:0006537	glutamate biosynthetic process	IDA				20120222		NCBITaxon:36329
RGD	RGD:1305181	Slc25a12	PMID:19764902		GO:0006537	glutamate biosynthetic process	IMP		RGD:1305181	PANTHER:PTHR45678	20180621		NCBITaxon:10116
SGD	SGD:S000002224	IDP1	PMID:15574419		GO:0006537	glutamate biosynthetic process	IGI	SGD:S000004982	SGD:S000002224	PANTHER:PTHR11822	20130807		NCBITaxon:559292
SGD	SGD:S000005902	GDH1	PMID:2932370		GO:0006537	glutamate biosynthetic process	IMP		SGD:S000005902	PANTHER:PTHR43571	20190429		NCBITaxon:559292
