assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
CGD	CGD:CAL0000198378	ILV2	PMID:20019084|CGD_REF:CAL0124886		GO:0009097	isoleucine biosynthetic process	IMP			PANTHER:PTHR18968	20140625		NCBITaxon:237561
CGD	CGD:CAL0000199398	ILV1	PMID:20019084|CGD_REF:CAL0124886		GO:0009097	isoleucine biosynthetic process	IMP			PANTHER:PTHR48078	20140625		NCBITaxon:237561
EcoCyc	EcoCyc:DIHYDROXYACIDDEHYDRAT-MONOMER	IlvD	PMID:13727223		GO:0009097	isoleucine biosynthetic process	IDA		EcoCyc:DIHYDROXYACIDDEHYDRAT-MONOMER		20071102		NCBITaxon:83333
EcoCyc	EcoCyc:KETOLREDUCTOISOM-MONOMER	IlvC	PMID:14832239		GO:0009097	isoleucine biosynthetic process	IMP		EcoCyc:KETOLREDUCTOISOM-MONOMER		20170920		NCBITaxon:83333
EcoCyc	EcoCyc:ACETOLACTSYNIII-ICHAIN-MONOMER	IlvI	PMID:2675968		GO:0009097	isoleucine biosynthetic process	IDA		EcoCyc:ACETOLACTSYNIII-ICHAIN-MONOMER		20071108		NCBITaxon:83333
EcoCyc	EcoCyc:ACETOLACTSYNIII-HCHAIN-MONOMER	IlvH	PMID:2675968		GO:0009097	isoleucine biosynthetic process	IDA		EcoCyc:ACETOLACTSYNIII-HCHAIN-MONOMER		20071108		NCBITaxon:83333
EcoCyc	EcoCyc:LARGEILVB-MONOMER	IlvB	PMID:370104		GO:0009097	isoleucine biosynthetic process	IDA		EcoCyc:LARGEILVB-MONOMER		20070925		NCBITaxon:83333
EcoCyc	EcoCyc:SMALLILVN-MONOMER	IlvN	PMID:370104		GO:0009097	isoleucine biosynthetic process	IDA		EcoCyc:SMALLILVN-MONOMER		20070925		NCBITaxon:83333
EcoCyc	EcoCyc:THREDEHYDSYN-MONOMER	IlvA	PMID:4573981		GO:0009097	isoleucine biosynthetic process	IDA		EcoCyc:THREDEHYDSYN-MONOMER		20070924		NCBITaxon:83333
EcoliWiki	EcoCyc:THREDEHYDSYN-MONOMER	IlvA	PMID:4604254		GO:0009097	isoleucine biosynthetic process	IMP		EcoCyc:THREDEHYDSYN-MONOMER		20090825		NCBITaxon:83333
EcoliWiki	EcoCyc:THREDEHYDSYN-MONOMER	IlvA	PMID:8407838		GO:0009097	isoleucine biosynthetic process	IMP		EcoCyc:THREDEHYDSYN-MONOMER		20090825		NCBITaxon:83333
MTBBASE	UniProtKB:P9WG41	ilvB1	PMID:16111681		GO:0009097	isoleucine biosynthetic process	IDA			PANTHER:PTHR18968	20110326		NCBITaxon:83332
PomBase	PomBase:SPAC17G8.06c	ilv3	PMID:35325114		GO:0009097	isoleucine biosynthetic process	IMP		PomBase:SPAC17G8.06c	PANTHER:PTHR21000	20220630		NCBITaxon:4896
PomBase	PomBase:SPBP35G2.07	ilv1	PMID:4698210		GO:0009097	isoleucine biosynthetic process	EXP		PomBase:SPBP35G2.07	PANTHER:PTHR18968	20130925		NCBITaxon:4896
SGD	SGD:S000001313	MMF1	PMID:11442631		GO:0009097	isoleucine biosynthetic process	IMP		SGD:S000001313	PANTHER:PTHR11803	20130807		NCBITaxon:559292
SGD	SGD:S000000888	ILV1	PMID:5345980		GO:0009097	isoleucine biosynthetic process	IMP		SGD:S000000888	PANTHER:PTHR48078	20130807		NCBITaxon:559292
TAIR	AGI_LocusCode:AT3G10050	OMR1	PMID:12228340|TAIR:Publication:501682282		GO:0009097	isoleucine biosynthetic process	TAS		TAIR:locus:2100078		20070129		NCBITaxon:3702
TAIR	AGI_LocusCode:AT3G10050	OMR1	PMID:28522547|TAIR:Publication:501775460		GO:0009097	isoleucine biosynthetic process	IMP		TAIR:locus:2100078		20170912		NCBITaxon:3702
UniProt	UniProtKB:Q7CP78	ridA	PMID:18296521		GO:0009097	isoleucine biosynthetic process	IMP			PANTHER:PTHR11803	20120118		NCBITaxon:99287
UniProt	UniProtKB:P9WG41	ilvB1	PMID:19542000		GO:0009097	isoleucine biosynthetic process	IMP			PANTHER:PTHR18968	20170221		NCBITaxon:83332
