assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
CGD	CGD:CAL0000182169	ALA1	PMID:16928688|CGD_REF:CAL0116799		GO:0006419	alanyl-tRNA aminoacylation	IGI	SGD:S000005862		PANTHER:PTHR11777	20140625		NCBITaxon:237561
EcoCyc	UniProtKB:P00957	alaS	PMID:7005211		GO:0006419	alanyl-tRNA aminoacylation	IDA			PANTHER:PTHR11777	20080816		NCBITaxon:83333
FlyBase	FB:FBgn0027094	AlaRS	PMID:26761199|FB:FBrf0230668		GO:0006419	alanyl-tRNA aminoacylation	TAS			PANTHER:PTHR11777	20160512		NCBITaxon:7227
FlyBase	FB:FBgn0028962	AlaRS-m	PMID:26761199|FB:FBrf0230668		GO:0006419	alanyl-tRNA aminoacylation	TAS			PANTHER:PTHR11777	20160512		NCBITaxon:7227
MGI	MGI:MGI:2384560	Aars1	PMID:16906134		GO:0006419	alanyl-tRNA aminoacylation	IMP	MGI:MGI:3618596		PANTHER:PTHR11777	20081016		NCBITaxon:10090
RGD	RGD:1304832	Aars1	PMID:2040280|RGD:2302982		GO:0006419	alanyl-tRNA aminoacylation	IDA			PANTHER:PTHR11777	20090123		NCBITaxon:10116
SGD	SGD:S000005862	ALA1	PMID:7761427		GO:0006419	alanyl-tRNA aminoacylation	IMP		UniProtKB:P40825	PANTHER:PTHR11777	20130807		NCBITaxon:559292
UniProt	UniProtKB:O28029	alaS	PMID:17327676		GO:0006419	alanyl-tRNA aminoacylation	IMP				20100412		NCBITaxon:224325
UniProt	UniProtKB:P49588	AARS1	PMID:27622773		GO:0006419	alanyl-tRNA aminoacylation	IDA		UniProtKB:P49588	PANTHER:PTHR11777	20170627		NCBITaxon:9606
UniProt	MGI:MGI:2384560	Aars1	PMID:27622773		GO:0006419	alanyl-tRNA aminoacylation	IDA			PANTHER:PTHR11777	20170627		NCBITaxon:10090
UniProt	UniProtKB:P49588	AARS1	PMID:28493438		GO:0006419	alanyl-tRNA aminoacylation	IDA		UniProtKB:P49588	PANTHER:PTHR11777	20171017		NCBITaxon:9606
UniProt	UniProtKB:P49588	AARS1	PMID:33909043		GO:0006419	alanyl-tRNA aminoacylation	IMP		UniProtKB:P49588	PANTHER:PTHR11777	20220608		NCBITaxon:9606
CAFA	MGI:MGI:1914297	Rars1	PMID:12060739		GO:0006420	arginyl-tRNA aminoacylation	IDA			PANTHER:PTHR11956	20170119		NCBITaxon:10090
EcoCyc	UniProtKB:P11875	argS	PMID:37899		GO:0006420	arginyl-tRNA aminoacylation	IDA			PANTHER:PTHR11956	20130430		NCBITaxon:83333
FlyBase	FB:FBgn0037526	ArgRS-m	PMID:26761199|FB:FBrf0230668		GO:0006420	arginyl-tRNA aminoacylation	TAS			PANTHER:PTHR11956	20160512		NCBITaxon:7227
FlyBase	FB:FBgn0027093	ArgRS	PMID:26761199|FB:FBrf0230668		GO:0006420	arginyl-tRNA aminoacylation	TAS			PANTHER:PTHR11956	20160512		NCBITaxon:7227
RGD	RGD:1309215	Rars1	PMID:7082655|RGD:2303394		GO:0006420	arginyl-tRNA aminoacylation	IDA			PANTHER:PTHR11956	20090211		NCBITaxon:10116
SGD	SGD:S000002749	YDR341C	PMID:9622124		GO:0006420	arginyl-tRNA aminoacylation	IDA		UniProtKB:Q05506	PANTHER:PTHR11956	20130807		NCBITaxon:559292
UniProt	UniProtKB:P54136	RARS1	PMID:25288775		GO:0006420	arginyl-tRNA aminoacylation	IDA		UniProtKB:P54136	PANTHER:PTHR11956	20170612		NCBITaxon:9606
EcoCyc	UniProtKB:P0A8M0	asnS	PMID:1425658		GO:0006421	asparaginyl-tRNA aminoacylation	IMP			PANTHER:PTHR22594	20180928		NCBITaxon:83333
EcoCyc	UniProtKB:P0A8M0	asnS	PMID:1544480		GO:0006421	asparaginyl-tRNA aminoacylation	IDA			PANTHER:PTHR22594	20130509		NCBITaxon:83333
EcoCyc	UniProtKB:P0A8M0	asnS	PMID:334719		GO:0006421	asparaginyl-tRNA aminoacylation	IMP			PANTHER:PTHR22594	20180928		NCBITaxon:83333
FlyBase	FB:FBgn0034177	AsnRS-m	PMID:26761199|FB:FBrf0230668		GO:0006421	asparaginyl-tRNA aminoacylation	TAS			PANTHER:PTHR22594	20160512		NCBITaxon:7227
FlyBase	FB:FBgn0086443	AsnRS	PMID:26761199|FB:FBrf0230668		GO:0006421	asparaginyl-tRNA aminoacylation	TAS			PANTHER:PTHR22594	20160512		NCBITaxon:7227
GeneDB	PlasmoDB:PF3D7_0211800	AsnRS	PMID:24196969		GO:0006421	asparaginyl-tRNA aminoacylation	IDA				20131108		NCBITaxon:36329
GeneDB	PlasmoDB:PF3D7_0509600	AsnRS	PMID:24196969		GO:0006421	asparaginyl-tRNA aminoacylation	IDA				20131108		NCBITaxon:36329
PomBase	PomBase:SPBC1773.10c	nrs1	PMID:29330317		GO:0006421	asparaginyl-tRNA aminoacylation	IMP			PANTHER:PTHR22594	20181109		NCBITaxon:4896
SGD	SGD:S000000618	SLM5	PMID:9030748		GO:0006421	asparaginyl-tRNA aminoacylation	IDA		UniProtKB:P25345	PANTHER:PTHR22594	20130807		NCBITaxon:559292
SGD	SGD:S000001061	DED81	PMID:9605503		GO:0006421	asparaginyl-tRNA aminoacylation	IDA		UniProtKB:P38707	PANTHER:PTHR22594	20130807		NCBITaxon:559292
UniProt	UniProtKB:P54263	asnS	PMID:8706760		GO:0006421	asparaginyl-tRNA aminoacylation	IDA				20100409		NCBITaxon:300852
UniProt	UniProtKB:O43776	NARS1	PMID:9421509		GO:0006421	asparaginyl-tRNA aminoacylation	IDA		UniProtKB:O43776	PANTHER:PTHR22594	20190926		NCBITaxon:9606
EcoCyc	UniProtKB:P21889	aspS	PMID:9171418		GO:0006422	aspartyl-tRNA aminoacylation	IDA			PANTHER:PTHR22594	20080211		NCBITaxon:83333
