term	file	line
GO:0035338	hamap2go	HAMAP:MF_03201 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	hamap2go	HAMAP:MF_03203 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	hamap2go	HAMAP:MF_03204 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	hamap2go	HAMAP:MF_03205 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	hamap2go	HAMAP:MF_03206 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	hamap2go	HAMAP:MF_03207 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	unirule2go	UniRule:UR000254915 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	unirule2go	UniRule:UR000254918 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	unirule2go	UniRule:UR000254920 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	unirule2go	UniRule:UR000254923 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	unirule2go	UniRule:UR000254926 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	unirule2go	UniRule:UR000254934 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0035338	reactome2go	Reactome:R-HSA-75876 > GO:long-chain fatty-acyl-CoA biosynthetic process ; GO:0035338
GO:0046949	reactome2go	Reactome:R-HSA-75105 > GO:fatty-acyl-CoA biosynthetic process ; GO:0046949
