assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
BHF-UCL	UniProtKB:P78329	CYP4F2	PMID:18433732		GO:0000038	very long-chain fatty acid metabolic process	IDA		UniProtKB:P78329	PANTHER:PTHR24291	20091102		NCBITaxon:9606
BHF-UCL	UniProtKB:Q15067	ACOX1	PMID:18536048		GO:0000038	very long-chain fatty acid metabolic process	IMP		UniProtKB:Q15067	PANTHER:PTHR10909	20091126		NCBITaxon:9606
CGD	CGD:CAL0000194246	TSC13	PMID:20949076		GO:0000038	very long-chain fatty acid metabolic process	IGI	SGD:S000002173	CGD:CAL0000194246	PANTHER:PTHR10556	20140625		NCBITaxon:237561
HGNC-UCL	UniProtKB:Q96GR2	ACSBG1	PMID:10954726		GO:0000038	very long-chain fatty acid metabolic process	IDA		UniProtKB:Q96GR2	PANTHER:PTHR24096	20090803		NCBITaxon:9606
HGNC-UCL	UniProtKB:Q86TX2	ACOT1	PMID:16940157		GO:0000038	very long-chain fatty acid metabolic process	IDA		UniProtKB:Q86TX2	PANTHER:PTHR10824	20061213		NCBITaxon:9606
HGNC-UCL	UniProtKB:Q8N9L9	ACOT4	PMID:16940157		GO:0000038	very long-chain fatty acid metabolic process	IDA		UniProtKB:Q8N9L9	PANTHER:PTHR10824	20061213		NCBITaxon:9606
HGNC-UCL	UniProtKB:P49753	ACOT2	PMID:16940157		GO:0000038	very long-chain fatty acid metabolic process	IDA		UniProtKB:P49753	PANTHER:PTHR10824	20061213		NCBITaxon:9606
HGNC-UCL	MGI:MGI:2384969	Acot5	PMID:16940157		GO:0000038	very long-chain fatty acid metabolic process	IDA		MGI:MGI:2384969	PANTHER:PTHR10824	20061213		NCBITaxon:10090
HGNC-UCL	MGI:MGI:2159619	Acot3	PMID:16940157		GO:0000038	very long-chain fatty acid metabolic process	IDA		MGI:MGI:2159619	PANTHER:PTHR10824	20061213		NCBITaxon:10090
MGI	MGI:MGI:1098808	Pex5	PMID:10653000		GO:0000038	very long-chain fatty acid metabolic process	IMP	MGI:MGI:2154454	MGI:MGI:1098808	PANTHER:PTHR10130	20070605	EMAPA:16894	NCBITaxon:10090
