assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
PomBase	PomBase:SPAC631.02	bdf2	PMID:24013502		GO:0140008	histone H4 reader activity	IDA		PomBase:SPAC631.02	PANTHER:PTHR22880	20131119	GO:0000779|GO:0033696	NCBITaxon:4896
SGD	SGD:S000005599	SGO1	PMID:24945276		GO:0070199	establishment of protein localization to chromosome	IMP		SGD:S000005599		20191106	GO:0000087|SGD:S000005540|GO:0000779	NCBITaxon:559292
SGD	SGD:S000005599	SGO1	PMID:25236599		GO:0045184	establishment of protein localization	IDA		SGD:S000005599		20211116	GO:0000087|SGD:S000005540|GO:0000779	NCBITaxon:559292
FlyBase	FB:FBgn0033258	uno	PMID:33001976		GO:0007129	homologous chromosome pairing at meiosis	IMP		FB:FBgn0033258		20231214	GO:0000705|GO:0007141|GO:0000793	NCBITaxon:7227
IntAct	UniProtKB:O94880	PHF14	PMID:28160558		GO:0005515	protein binding	IPI	UniProtKB:O95239	UniProtKB:O94880		20260725	GO:0000793|GO:0005634	NCBITaxon:9606
IntAct	UniProtKB:O95239	KIF4A	PMID:28160558		GO:0005515	protein binding	IPI	UniProtKB:O94880	UniProtKB:O95239	PANTHER:PTHR47969	20260725	GO:0000793|GO:0005634	NCBITaxon:9606
WB	WB:WBGene00006739	ulp-4	PMID:25475837		GO:0016926	protein desumoylation	IMP		WB:WBGene00006739	PANTHER:PTHR46915	20211117	GO:0051322|GO:0000793	NCBITaxon:6239
IntAct	SGD:S000006115	DDC1	PMID:11805837		GO:0005515	protein binding	IPI	UniProtKB:Q02574	SGD:S000006115	PANTHER:PTHR15237	20260801	GO:0005634|GO:0000794	NCBITaxon:559292
IntAct	SGD:S000004279	MEC3	PMID:11805837		GO:0005515	protein binding	IPI	UniProtKB:Q08949	SGD:S000004279	PANTHER:PTHR12900	20260801	GO:0005634|GO:0000794	NCBITaxon:559292
IntAct	SGD:S000003782	REC107	PMID:14992724		GO:0005515	protein binding	IPI	UniProtKB:P29467	SGD:S000003782		20260801	GO:0000794	NCBITaxon:559292
