used_id	used_by_id	predicate	source	dataset	context	axiom	description
GO:0005980	UBERON:0002107	uberon/core#site:of	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0005980	MP:0002713	UPHENO:0000001	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0005980	OBA:0003734	RO:0000052	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0005980	OBA:VT0002713	RO:0002314	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0006000	HP:0011033	UPHENO:0000001	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0006000	MONDO:0017689	RO:0004021	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0006000	OBA:0003195	RO:0000052	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0006012	HP:0004915	UPHENO:0000001	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0006012	MONDO:0017690	RO:0004021	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0006012	OBA:0002575	RO:0000052	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
