assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
MGI	MGI:MGI:98296	Shc1	PMID:12483226		GO:0005068	transmembrane receptor protein tyrosine kinase adaptor activity	IDA			PANTHER:PTHR10337	20220803	GO:0048009|GO:0005091	NCBITaxon:10090
MGI	MGI:MGI:99454	Irs1	PMID:8649419		GO:0005068	transmembrane receptor protein tyrosine kinase adaptor activity	IDA			PANTHER:PTHR10614	20220720	GO:0008286|GO:0005091	NCBITaxon:10090
MGI	PR:P98083-2	mSHC1/iso:p52Shc	PMID:9199344		GO:0030674	protein-macromolecule adaptor activity	IDA				20220714	GO:0050853|GO:0005091	NCBITaxon:10090
UniProt	UniProtKB:Q9UBK5	HCST	PMID:16582911		GO:0030674	protein-macromolecule adaptor activity	IDA		UniProtKB:Q9UBK5	PANTHER:PTHR21409	20240319	GO:0042267|UniProtKB:P15498|UniProtKB:P27986|UniProtKB:P62993|GO:0005085|GO:0005091|GO:0035014	NCBITaxon:9606
BHF-UCL	UniProtKB:Q96AP0	ACD	PMID:25172512		GO:0044877	protein-containing complex binding	IPI	ComplexPortal:CPX-2129	UniProtKB:Q96AP0	PANTHER:PTHR14487	20240712	GO:0010521	NCBITaxon:9606
MGI	MGI:MGI:99454	Irs1	PMID:7542745		GO:0030674	protein-macromolecule adaptor activity	IDA			PANTHER:PTHR10614	20220715	GO:0008286|GO:0019209|GO:0046935	NCBITaxon:10090
MGI	MGI:MGI:99454	Irs1	PMID:9399964		GO:0030674	protein-macromolecule adaptor activity	IDA			PANTHER:PTHR10614	20220715	GO:0019209|GO:0046935	NCBITaxon:10090
BHF-UCL	RGD:2081	Akt1	PMID:8524413|RGD:8554844		GO:0004674	protein serine/threonine kinase activity	IDA			PANTHER:PTHR24356	20220824	CL:0002372|GO:0030291|GO:0008286	NCBITaxon:10116
UniProt	UniProtKB:P31749	AKT1	PMID:17386266		GO:0004674	protein serine/threonine kinase activity	IDA		UniProtKB:P31749	PANTHER:PTHR24356	20230607	GO:0032869|GO:1904263|GO:0004674|UniProtKB:Q96B36|GO:0030291	NCBITaxon:9606
UniProt	UniProtKB:P62877	RBX1	PMID:22017875		GO:0061630	ubiquitin protein ligase activity	IDA		UniProtKB:P62877	PANTHER:PTHR11210	20230620	GO:0031146|GO:0004674|UniProtKB:Q8TB45|GO:0030291	NCBITaxon:9606
UniProt	UniProtKB:P62877	RBX1	PMID:22017876		GO:0061630	ubiquitin protein ligase activity	IDA		UniProtKB:P62877	PANTHER:PTHR11210	20230620	GO:0031146|GO:0004674|UniProtKB:Q8TB45|GO:0030291	NCBITaxon:9606
UniProt	UniProtKB:Q93009	USP7	PMID:35216969		GO:0004843	cysteine-type deubiquitinase activity	IDA		UniProtKB:Q93009	PANTHER:PTHR24006	20230621	GO:0050821|GO:1904262|UniProtKB:Q8TB45|GO:0030291	NCBITaxon:9606
UniProt	UniProtKB:Q9UBK5	HCST	PMID:16582911		GO:0030674	protein-macromolecule adaptor activity	IDA		UniProtKB:Q9UBK5	PANTHER:PTHR21409	20240319	GO:0042267|UniProtKB:P15498|UniProtKB:P27986|UniProtKB:P62993|GO:0005085|GO:0005091|GO:0035014	NCBITaxon:9606
UniProt	UniProtKB:Q9Y6W8	ICOS	PMID:33033255		GO:0038023	signaling receptor activity	IDA		UniProtKB:Q9Y6W8	PANTHER:PTHR20904	20240822	GO:0004674|GO:0035014	NCBITaxon:9606
UniProt	UniProtKB:Q13131	PRKAA1	PMID:32029622		GO:0004674	protein serine/threonine kinase activity	IDA		UniProtKB:Q13131-2	PANTHER:PTHR24343	20210915	GO:1903944|GO:0043028|UniProtKB:P55212|GO:0004197	NCBITaxon:9606
UniProt	UniProtKB:P54646	PRKAA2	PMID:32029622		GO:0004674	protein serine/threonine kinase activity	IDA		UniProtKB:P54646	PANTHER:PTHR24343	20210915	GO:1903944|GO:0043028|UniProtKB:P55212|GO:0004197	NCBITaxon:9606
FlyBase	FB:FBgn0020386	Pdk1	PMID:36899949|FB:FBrf0256005		GO:0004674	protein serine/threonine kinase activity	IDA			PANTHER:PTHR24356	20240104	GO:1904262|GO:0009898|GO:0004679|FB:FBgn0038167|GO:0043539	NCBITaxon:7227
UniProt	UniProtKB:Q13188	STK3	PMID:15688006		GO:0004674	protein serine/threonine kinase activity	IDA		UniProtKB:Q13188	PANTHER:PTHR48015	20240131	GO:0035329|UniProtKB:O95835|GO:0004674|GO:0043539	NCBITaxon:9606
UniProt	UniProtKB:O60934	NBN	PMID:18411307		GO:0140463	chromatin-protein adaptor activity	IDA		UniProtKB:O60934	PANTHER:PTHR12162	20240903	GO:1990166|GO:0035861|GO:0030870|GO:0043539	NCBITaxon:9606
UniProt	UniProtKB:P07396	OPG062	PMID:30078703		GO:0140313	molecular sequestering activity	IDA				20220705	GO:0039502|GO:0030430|UniProtKB:Q6R327|UniProtKB:Q8N122|GO:0043539	NCBITaxon:10254
UniProt	UniProtKB:Q4G0M1	ERFE	PMID:31800957		GO:0140313	molecular sequestering activity	IDA		UniProtKB:Q4G0M1	PANTHER:PTHR24019	20240923	GO:0030514|GO:0016362|UniProtKB:P22004|GO:0005125|GO:0043539	NCBITaxon:9606
