assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
GR	UniProtKB:Q08480	ADK-B	PMID:1302636		GO:0006163	purine nucleotide metabolic process	IEP			PANTHER:PTHR23359	20060831		NCBITaxon:39947
GR	UniProtKB:Q08479	ADK-A	PMID:1302636		GO:0006163	purine nucleotide metabolic process	IEP			PANTHER:PTHR23359	20060831		NCBITaxon:39947
GeneDB	PlasmoDB:PF3D7_0206700	ADSL	PMID:19111634		GO:0006163	purine nucleotide metabolic process	IDA				20131110		NCBITaxon:36329
GeneDB	PlasmoDB:PF3D7_1329400	AMPD	PMID:31128470		GO:0006163	purine nucleotide metabolic process	IGI				20190529		NCBITaxon:36329
MGI	MGI:MGI:87947	Adss1	PMID:12482871		GO:0006163	purine nucleotide metabolic process	IDA			PANTHER:PTHR11846	20080508		NCBITaxon:10090
MGI	MGI:MGI:87947	Adss1	PMID:1939273		GO:0006163	purine nucleotide metabolic process	IDA			PANTHER:PTHR11846	20080508		NCBITaxon:10090
PseudoCAP	UniProtKB:Q9I6Y9	nuh	PMID:15995202		GO:0006163	purine nucleotide metabolic process	IMP		UniProtKB:Q9I6Y9	PANTHER:PTHR12304	20190311		NCBITaxon:208964
PseudoCAP	UniProtKB:Q59636	ndk	PMID:8809750		GO:0006163	purine nucleotide metabolic process	IDA		UniProtKB:Q59636	PANTHER:PTHR11349	20190311		NCBITaxon:208964
RGD	RGD:620500	Acacb	PMID:31709908		GO:0006163	purine nucleotide metabolic process	IMP			PANTHER:PTHR45728	20230626		NCBITaxon:10116
SGD	SGD:S000004498	AMD1	PMID:15869715		GO:0006163	purine nucleotide metabolic process	IGI	SGD:S000005085		PANTHER:PTHR11359	20130807		NCBITaxon:559292
SGD	SGD:S000004498	AMD1	PMID:18433446		GO:0006163	purine nucleotide metabolic process	IGI	SGD:S000002634		PANTHER:PTHR11359	20130807		NCBITaxon:559292
SGD	SGD:S000004498	AMD1	PMID:19635936		GO:0006163	purine nucleotide metabolic process	IGI	SGD:S000000857		PANTHER:PTHR11359	20130807		NCBITaxon:559292
SGD	SGD:S000004498	AMD1	PMID:19635936		GO:0006163	purine nucleotide metabolic process	IGI	SGD:S000002816		PANTHER:PTHR11359	20130807		NCBITaxon:559292
SGD	SGD:S000004498	AMD1	PMID:19635936		GO:0006163	purine nucleotide metabolic process	IGI	SGD:S000005085		PANTHER:PTHR11359	20130807		NCBITaxon:559292
SGD	SGD:S000004498	AMD1	PMID:19635936		GO:0006163	purine nucleotide metabolic process	IMP			PANTHER:PTHR11359	20130807		NCBITaxon:559292
SGD	SGD:S000004498	AMD1	PMID:20087341		GO:0006163	purine nucleotide metabolic process	IMP			PANTHER:PTHR11359	20130807		NCBITaxon:559292
