assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
UniProt	UniProtKB:O00408	PDE2A	PMID:15938621		GO:0010752	regulation of cGMP-mediated signaling	IMP		UniProtKB:O00408	PANTHER:PTHR11347	20200706		NCBITaxon:9606
MGI	MGI:MGI:99403	Adora2b	PMID:18340377		GO:0010753	positive regulation of cGMP-mediated signaling	IMP	MGI:MGI:3773754		PANTHER:PTHR24246	20180529	GO:0019934	NCBITaxon:10090
RGD	RGD:735057	Rundc3a	PMID:11071862		GO:0010753	positive regulation of cGMP-mediated signaling	IDA			PANTHER:PTHR46251	20100922		NCBITaxon:10116
RGD	RGD:1308712	Guca1a	PMID:12545196		GO:0010753	positive regulation of cGMP-mediated signaling	IDA			PANTHER:PTHR23055	20070130		NCBITaxon:10116
RGD	RGD:3193	Nppa	PMID:12608696		GO:0010753	positive regulation of cGMP-mediated signaling	IDA			PANTHER:PTHR14066	20070726		NCBITaxon:10116
RGD	RGD:620850	Nppc	PMID:12746286		GO:0010753	positive regulation of cGMP-mediated signaling	IDA			PANTHER:PTHR12167	20060629		NCBITaxon:10116
RGD	RGD:620851	Npr2	PMID:7552344		GO:0010753	positive regulation of cGMP-mediated signaling	IDA			PANTHER:PTHR11920	20070726		NCBITaxon:10116
RGD	RGD:3195	Npr1	PMID:7552344		GO:0010753	positive regulation of cGMP-mediated signaling	IDA			PANTHER:PTHR11920	20180518		NCBITaxon:10116
RGD	RGD:3194	Nppb	PMID:7552344		GO:0010753	positive regulation of cGMP-mediated signaling	IDA			PANTHER:PTHR14066	20070726		NCBITaxon:10116
RGD	RGD:3193	Nppa	PMID:7552344		GO:0010753	positive regulation of cGMP-mediated signaling	IDA			PANTHER:PTHR14066	20070726		NCBITaxon:10116
UniProt	MGI:MGI:106030	Gucy2d	PMID:17724338		GO:0010753	positive regulation of cGMP-mediated signaling	IDA			PANTHER:PTHR11920	20191025		NCBITaxon:10090
WB	WB:WBGene00000917	daf-25	PMID:21124868		GO:0010753	positive regulation of cGMP-mediated signaling	IMP	WB:WBVar00317244		PANTHER:PTHR24150	20110401		NCBITaxon:6239
WB	WB:WBGene00011146	pde-2	PMID:23940325		GO:0010753	positive regulation of cGMP-mediated signaling	IGI	UniProtKB:A8WI01		PANTHER:PTHR11347	20151012		NCBITaxon:6239
WB	WB:WBGene00011146	pde-2	PMID:23940325		GO:0010753	positive regulation of cGMP-mediated signaling	IMP			PANTHER:PTHR11347	20151012	WBbt:0004096	NCBITaxon:6239
WB	WB:WBGene00001173	egl-4	PMID:23940325		GO:0010753	positive regulation of cGMP-mediated signaling	IGI	UniProtKB:A8WI01		PANTHER:PTHR24353	20151012	WBbt:0004096	NCBITaxon:6239
WB	WB:WBGene00001173	egl-4	PMID:23940325		GO:0010753	positive regulation of cGMP-mediated signaling	IMP			PANTHER:PTHR24353	20151012	WBbt:0004096	NCBITaxon:6239
dictyBase	dictyBase:DDB_G0293434	rasG	PMID:16885420		GO:0010753	positive regulation of cGMP-mediated signaling	IMP			PANTHER:PTHR24070	20220629		NCBITaxon:44689
dictyBase	dictyBase:DDB_G0281385	rasC	PMID:16885420		GO:0010753	positive regulation of cGMP-mediated signaling	IMP			PANTHER:PTHR24070	20200228		NCBITaxon:44689
BHF-UCL	UniProtKB:P07996	THBS1	PMID:17416590		GO:0010754	negative regulation of cGMP-mediated signaling	IDA		UniProtKB:P07996	PANTHER:PTHR10199	20081017		NCBITaxon:9606
RGD	RGD:621793	Pde11a	PMID:11502204		GO:0010754	negative regulation of cGMP-mediated signaling	IDA			PANTHER:PTHR11347	20090819		NCBITaxon:10116
RGD	RGD:620798	Mtnr1b	PMID:18363673		GO:0010754	negative regulation of cGMP-mediated signaling	IMP			PANTHER:PTHR24228	20141104		NCBITaxon:10116
UniProt	UniProtKB:Q86UT5	NHERF4	PMID:11950846		GO:0010754	negative regulation of cGMP-mediated signaling	IDA		UniProtKB:Q86UT5	PANTHER:PTHR14191	20180523		NCBITaxon:9606
UniProt	UniProtKB:P07996	THBS1	PMID:19004835		GO:0010754	negative regulation of cGMP-mediated signaling	IDA		UniProtKB:P07996	PANTHER:PTHR10199	20240531		NCBITaxon:9606
UniProt	MGI:MGI:2446107	Pde2a	PMID:21724846		GO:0010754	negative regulation of cGMP-mediated signaling	IMP			PANTHER:PTHR11347	20180608		NCBITaxon:10090
UniProt	WB:WBGene00011433	pde-1	PMID:24015261		GO:0010754	negative regulation of cGMP-mediated signaling	IGI	UniProtKB:P30645|UniProtKB:P91119|UniProtKB:Q8I0P7		PANTHER:PTHR11347	20171204		NCBITaxon:6239
UniProt	WB:WBGene00016328	pde-5	PMID:24015261		GO:0010754	negative regulation of cGMP-mediated signaling	IGI	UniProtKB:O18696|UniProtKB:P30645|UniProtKB:Q8I0P7		PANTHER:PTHR11347	20171204		NCBITaxon:6239
UniProt	WB:WBGene00011146	pde-2	PMID:24015261		GO:0010754	negative regulation of cGMP-mediated signaling	IGI	UniProtKB:O18696|UniProtKB:P91119|UniProtKB:Q8I0P7		PANTHER:PTHR11347	20171204		NCBITaxon:6239
UniProt	WB:WBGene00008443	pde-3	PMID:24015261		GO:0010754	negative regulation of cGMP-mediated signaling	IGI	UniProtKB:O18696|UniProtKB:P30645|UniProtKB:P91119		PANTHER:PTHR11347	20171204		NCBITaxon:6239
