assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
UniProt	MGI:MGI:95489	Fbn1	PMID:31230984		GO:0005179	hormone activity	IDA			PANTHER:PTHR24039	20210629	UniProtKB:Q8VFT4|GO:0042593|GO:0019933|GO:0006006|CL:0000182	NCBITaxon:10090
dictyBase	dictyBase:DDB_G0277831	carD	PMID:12408804		GO:0008160	protein tyrosine phosphatase activator activity	TAS			PANTHER:PTHR23112	20230217	UniProtKB:P51136|GO:0019933	NCBITaxon:44689
dictyBase	dictyBase:DDB_G0275711	nhe1	PMID:15851518		GO:0030838	positive regulation of actin filament polymerization	IMP			PANTHER:PTHR10110	20240209	GO:0019933	NCBITaxon:44689
dictyBase	dictyBase:DDB_G0286355	mhcA	PMID:17126332		GO:0001931	uropod	IDA			PANTHER:PTHR45615	20240109	GO:0019933	NCBITaxon:44689
dictyBase	dictyBase:DDB_G0293434	rasG	PMID:18180289		GO:0071321	cellular response to cGMP	IGI	UniProtKB:P32253		PANTHER:PTHR24070	20201203	GO:0019933	NCBITaxon:44689
dictyBase	dictyBase:DDB_G0281385	rasC	PMID:18180289		GO:0071321	cellular response to cGMP	IGI	UniProtKB:P15064		PANTHER:PTHR24070	20201203	GO:0019933	NCBITaxon:44689
dictyBase	dictyBase:DDB_G0281545	acaA	PMID:19047467		GO:1903561	extracellular vesicle	IDA			PANTHER:PTHR45627	20220729	GO:0016477|GO:0019933	NCBITaxon:44689
dictyBase	dictyBase:DDB_G0276893	ctxB	PMID:22114350		GO:0010628	positive regulation of gene expression	IMP			PANTHER:PTHR23167	20240209	UniProtKB:P13773|UniProtKB:Q03100|UniProtKB:P15064|UniProtKB:P32253|GO:0019933	NCBITaxon:44689
dictyBase	dictyBase:DDB_G0277589	gtaC	PMID:24653039		GO:0005634	nucleus	IDA			PANTHER:PTHR45658	20210916	GO:0019933	NCBITaxon:44689
dictyBase	dictyBase:DDB_G0277589	gtaC	PMID:24653039		GO:0005737	cytoplasm	IDA			PANTHER:PTHR45658	20210916	GO:0019933	NCBITaxon:44689
dictyBase	dictyBase:DDB_G0272110	gskA	PMID:24653039		GO:0004672	protein kinase activity	IDA			PANTHER:PTHR24057	20201119	DDB:DDB_G0277589|GO:0019933	NCBITaxon:44689
dictyBase	dictyBase:DDB_G0293434	rasG	PMID:9551080		GO:0019887	protein kinase regulator activity	IDA			PANTHER:PTHR24070	20240213	UniProtKB:Q54QB1|GO:0019933|GO:0043326	NCBITaxon:44689
