assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
UniProt	UniProtKB:P61221	ABCE1	PMID:21448132		GO:0032790	ribosome disassembly	IDA		UniProtKB:P61221	PANTHER:PTHR19248	20230223	GO:0072344	NCBITaxon:9606
UniProt	SGD:S000005930	RQC2	PMID:25554787		GO:0043023	ribosomal large subunit binding	IDA		SGD:S000005930	PANTHER:PTHR15239	20230301	GO:0072344|GO:0022626|GO:1904678	NCBITaxon:559292
UniProt	UniProtKB:O94822	LTN1	PMID:25578875		GO:0061630	ubiquitin protein ligase activity	IDA		UniProtKB:O94822	PANTHER:PTHR12389	20230301	GO:0072344|GO:1990116|GO:0022626	NCBITaxon:9606
UniProt	UniProtKB:O94822	LTN1	PMID:25578875		GO:1990116	ribosome-associated ubiquitin-dependent protein catabolic process	IDA		UniProtKB:O94822	PANTHER:PTHR12389	20230301	GO:0072344	NCBITaxon:9606
UniProt	UniProtKB:O60524	NEMF	PMID:25578875		GO:0043023	ribosomal large subunit binding	IDA		UniProtKB:O60524	PANTHER:PTHR15239	20230301	GO:0072344|GO:0022626	NCBITaxon:9606
UniProt	UniProtKB:O60524	NEMF	PMID:25578875		GO:0043023	ribosomal large subunit binding	IDA		UniProtKB:O60524	PANTHER:PTHR15239	20230301	GO:0072344|GO:0022626|GO:1904678	NCBITaxon:9606
UniProt	SGD:S000002741	RQC1	PMID:27129255		GO:0030674	protein-macromolecule adaptor activity	IDA		SGD:S000002741	PANTHER:PTHR22684	20230301	GO:0072344|GO:1990116|SGD:S000002284|GO:0031593	NCBITaxon:559292
UniProt	SGD:S000002741	RQC1	PMID:27129255		GO:1990116	ribosome-associated ubiquitin-dependent protein catabolic process	IDA		SGD:S000002741	PANTHER:PTHR22684	20230301	GO:0072344	NCBITaxon:559292
UniProt	SGD:S000004861	RKR1	PMID:27385828		GO:0061630	ubiquitin protein ligase activity	IDA		SGD:S000004861	PANTHER:PTHR12389	20230301	GO:0072344|GO:1990116|GO:0022626|GO:0004521|GO:0030674	NCBITaxon:559292
UniProt	SGD:S000004861	RKR1	PMID:27385828		GO:1990116	ribosome-associated ubiquitin-dependent protein catabolic process	IDA		SGD:S000004861	PANTHER:PTHR12389	20230301	GO:0072344	NCBITaxon:559292
UniProt	UniProtKB:Q9UBS8	RNF14	PMID:27863242		GO:0061630	ubiquitin protein ligase activity	IDA		UniProtKB:Q9UBS8	PANTHER:PTHR11685	20230209	GO:0006511|GO:0072344|GO:0085020|GO:0022626|UniProtKB:P62495|GO:0003747	NCBITaxon:9606
UniProt	UniProtKB:Q9UBS8	RNF14	PMID:27863242		GO:0006511	ubiquitin-dependent protein catabolic process	IDA		UniProtKB:Q9UBS8	PANTHER:PTHR11685	20230209	GO:0072344	NCBITaxon:9606
UniProt	UniProtKB:Q9UBS8	RNF14	PMID:27863242		GO:0085020	protein K6-linked ubiquitination	IDA		UniProtKB:Q9UBS8	PANTHER:PTHR11685	20230209	GO:0006511|GO:0072344	NCBITaxon:9606
UniProt	UniProtKB:Q9BRX2	PELO	PMID:27863242		GO:0170011	stalled ribosome sensor activity	IDA		UniProtKB:Q9BRX2	PANTHER:PTHR10853	20230223	GO:0070966|GO:0072344|GO:0022626|GO:0017111	NCBITaxon:9606
UniProt	UniProtKB:Q9BRX2	PELO	PMID:27863242		GO:0070966	nuclear-transcribed mRNA catabolic process, no-go decay	IDA		UniProtKB:Q9BRX2	PANTHER:PTHR10853	20230223	GO:0072344	NCBITaxon:9606
